maze_title,maze_algorithm,maze_height,maze_width,path_length,nodes_available,iterations,policy_changes,states_evaluated,execution_time,is_solution_found,current_memory,peak_memory,current_memory_mb,peak_memory_mb,nodes_explored
maze15,MDP_POLICY,15,15,43,101,10.0,41.0,49852.0,7.7973198890686035,True,19390,22752,0.0184917449951171,0.021697998046875,
maze19,BFS,19,19,49,169,,,,0.0009210109710693,True,3345,7131,0.0031900405883789,0.0068006515502929,102.0
maze15,A*,15,15,43,101,,,,0.0008101463317871,True,3201,9137,0.0030527114868164,0.0087137222290039,61.0
maze45,DFS,45,45,395,1043,,,,0.0080430507659912,True,31145,213755,0.0297021865844726,0.2038526535034179,855.0
maze21,DFS,21,21,105,211,,,,0.0017321109771728,True,7393,16267,0.0070505142211914,0.0155134201049804,191.0
maze11,MDP_POLICY,11,11,25,49,7.0,16.0,13515.0,1.1156089305877686,True,10131,13005,0.0096616744995117,0.0124025344848632,
maze11,BFS,11,11,25,49,,,,0.0004029273986816,True,1761,3577,0.0016794204711914,0.0034112930297851,45.0
maze59,BFS,59,59,165,1819,,,,0.0166780948638916,True,14977,65811,0.0142831802368164,0.0627622604370117,1774.0
maze101,DFS,101,101,2007,5428,,,,0.0445270538330078,True,167137,3397985,0.1593942642211914,3.2405710220336914,3833.0
maze59,MDP_POLICY,59,59,0,1819,9.0,308.0,797598.0,1792.764904975891,False,195506,326141,0.1864490509033203,0.3110322952270508,
maze67,DFS,67,67,805,2359,,,,0.0195438861846923,True,64065,704521,0.0610971450805664,0.6718835830688477,2018.0
maze7,A*,7,7,13,15,,,,0.0001850128173828,True,849,2201,0.0008096694946289,0.0020990371704101,13.0
maze67,A*,67,67,147,2359,,,,0.005699872970581,True,15657,71593,0.0149316787719726,0.0682764053344726,430.0
maze7,DFS,7,7,13,15,,,,0.0001440048217773,True,825,1147,0.0007867813110351,0.0010938644409179,13.0
maze19,A*,19,19,49,169,,,,0.00105881690979,True,3433,9705,0.0032739639282226,0.0092554092407226,80.0
maze21,MDP_POLICY,21,21,37,211,14.0,94.0,143136.0,41.918050050735474,True,30614,42311,0.0291957855224609,0.0403509140014648,
maze11,A*,11,11,25,49,,,,0.0005669593811035,True,1817,8113,0.0017328262329101,0.0077371597290039,43.0
maze15,DFS,15,15,61,101,,,,0.0007853507995605,True,4265,9179,0.0040674209594726,0.0087537765502929,80.0
maze25,BFS,25,25,73,305,,,,0.0028719902038574,True,5561,16651,0.0053033828735351,0.0158796310424804,307.0
maze83,BFS,83,83,197,3647,,,,0.0340180397033691,True,20305,102755,0.0193643569946289,0.0979948043823242,3645.0
maze19,MDP_POLICY,19,19,49,169,10.0,64.0,81396.0,21.761454105377197,True,30950,40799,0.0295162200927734,0.0389089584350585,
maze31,DFS,31,31,239,481,,,,0.0035157203674316,True,16601,50763,0.0158319473266601,0.0484113693237304,369.0
maze83,A*,83,83,197,3647,,,,0.0311329364776611,True,35617,297913,0.0339670181274414,0.2841119766235351,2271.0
maze25,MDP_POLICY,25,25,73,305,10.0,115.0,153500.0,62.56988906860352,True,36902,45825,0.0351924896240234,0.0437021255493164,
maze7,BFS,7,7,13,15,,,,0.0001320838928222,True,825,1875,0.0007867813110351,0.0017881393432617,13.0
maze31,MDP_VALUE,31,31,93,481,73.0,,35259.0,93.29773902893066,True,59445,72205,0.0566911697387695,0.0688600540161132,
maze31,A*,31,31,93,481,,,,0.0062437057495117,True,7809,66577,0.0074472427368164,0.0634927749633789,471.0
maze67,BFS,67,67,147,2359,,,,0.0217318534851074,True,15169,78667,0.0144662857055664,0.0750226974487304,2327.0
maze45,MDP_POLICY,45,45,0,1043,15.0,356.0,783750.0,986.0777516365052,False,106789,170537,0.101841926574707,0.1626367568969726,
maze15,MDP_VALUE,15,15,43,101,34.0,,3502.0,2.0392749309539795,True,17029,20335,0.016240119934082,0.019392967224121,
maze25,A*,25,25,73,305,,,,0.0022828578948974,True,5361,32929,0.0051126480102539,0.0314035415649414,176.0
maze25,MDP_VALUE,25,25,73,305,59.0,,18113.0,32.195271253585815,True,34469,39407,0.032872200012207,0.037581443786621,
maze25,DFS,25,25,203,305,,,,0.0021839141845703,True,14169,41843,0.0135126113891601,0.0399045944213867,233.0
maze83,DFS,83,83,1177,3647,,,,0.0334019660949707,True,91257,1365371,0.0870294570922851,1.302119255065918,3295.0
maze15,BFS,15,15,43,101,,,,0.0008449554443359,True,3001,7027,0.0028619766235351,0.0067014694213867,93.0
maze7,MDP_POLICY,7,7,13,15,3.0,2.0,1853.0,0.0572092533111572,True,3859,5013,0.0036802291870117,0.0047807693481445,
maze31,BFS,31,31,93,481,,,,0.004371166229248,True,7081,15459,0.0067529678344726,0.0147428512573242,477.0
maze45,BFS,45,45,123,1043,,,,0.0092880725860595,True,10657,38227,0.0101633071899414,0.0364561080932617,987.0
maze45,MDP_VALUE,45,45,0,1043,79.0,,82555.0,475.81068301200867,False,104324,126765,0.0994911193847656,0.1208925247192382,
maze101,A*,101,101,269,5428,,,,0.0577170848846435,True,49329,640865,0.0470438003540039,0.6111764907836914,3984.0
maze59,A*,59,59,165,1819,,,,0.0149722099304199,True,17113,142913,0.0163202285766601,0.1362924575805664,1116.0
maze11,MDP_VALUE,11,11,25,49,21.0,,1071.0,0.3173010349273681,True,8899,11693,0.0084867477416992,0.0111513137817382,
maze19,DFS,19,19,53,169,,,,0.0006489753723144,True,3953,6907,0.0037698745727539,0.0065870285034179,67.0
maze19,MDP_VALUE,19,19,49,169,41.0,,7011.0,6.600689888000488,True,28517,32367,0.027195930480957,0.030867576599121,
maze101,BFS,101,101,269,5428,,,,0.0509250164031982,True,28929,147667,0.0275888442993164,0.1408262252807617,5426.0
maze31,MDP_POLICY,31,31,93,481,18.0,133.0,434700.0,302.3016052246094,True,61878,83569,0.0590114593505859,0.0796976089477539,
maze7,MDP_VALUE,7,7,13,15,11.0,,187.0,0.0217978954315185,True,3411,4509,0.0032529830932617,0.0043001174926757,
maze59,DFS,59,59,719,1819,,,,0.0137579441070556,True,53921,380035,0.0514230728149414,0.3624296188354492,1464.0
maze11,DFS,11,11,33,49,,,,0.0004971027374267,True,2209,3635,0.0021066665649414,0.0034666061401367,49.0
maze45,A*,45,45,123,1043,,,,0.0104119777679443,True,11305,131593,0.0107812881469726,0.1254968643188476,783.0
maze21,BFS,21,21,37,211,,,,0.0015251636505126,True,3137,9795,0.0029916763305664,0.0093412399291992,171.0
maze21,A*,21,21,37,211,,,,0.000648021697998,True,2969,8689,0.0028314590454101,0.0082864761352539,48.0
maze21,MDP_VALUE,21,21,37,211,37.0,,7881.0,9.441901922225952,True,28181,32511,0.0268754959106445,0.0310049057006835,
maze59,MDP_VALUE,59,59,0,1819,104.0,,189384.0,1916.1175837516785,False,195628,244870,0.1865653991699218,0.2335262298583984,
